I feel like I can be myself at work.,My tasks at my work are in line with what I really want to do.,I am free to express my ideas and opinions on my work.,I really master my tasks at work.,I feel competent at work.,I have been able to learn interesting new skills at work.,"At my work, I feel part of a group.","At my work, I can talk with people about things that really matter to me.",People at my work care about me.,"Considering everything, I am satisfied with my work.",The team means a lot to me personally.,"If I could choose, I would continue working in my team one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network at work.,People I work with are friendly.,The team could do more for me.,My family and friends appreciate the work I do for the team.,I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At work, I feel strong and vigorous.",I feel emotionally drained from my work.,I feel frustrated by my work.,What year were you born in?,What is your gender?,Team Name
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Sometimes,Almost never,,,Lviv Regional Staff
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Often,Almost never,Never,,,Lviv Regional Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Often,Rarely,,,Lviv Regional Staff
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Never,,,Lviv Regional Staff
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Very often,Almost never,Almost never,,,Lviv Regional Staff
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Sometimes,Rarely,Almost never,,,Lviv Regional Staff
Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Sometimes,Every day,Sometimes,,,Lviv Regional Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Never,,,Bashtanka_Distctrict_Staff
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Sometimes,Rarely,Sometimes,,,Bashtanka_Distctrict_Staff
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Sometimes,Often,Often,,,Bashtanka_Distctrict_Staff
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Often,Sometimes,Rarely,,,Bashtanka_Distctrict_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Rarely,Almost never,,,Bashtanka_Distctrict_Staff
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Very often,Rarely,Almost never,,,Bashtanka_Distctrict_Staff
Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rarely,Very often,Every day,,,Bashtanka_Distctrict_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Every day,Rarely,Never,,,Bashtanka_Distctrict_Staff
Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Rarely,Rarely,Rarely,,,Bashtanka_Distctrict_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Never,,,Bashtanka_Distctrict_Staff
Neutral,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Rarely,Often,,,Bashtanka_Distctrict_Staff
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Very often,Almost never,Never,,,Franskivska City Representation Staff Volunteers
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every day,Almost never,Never,,,Franskivska City Representation Staff Volunteers
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every day,Almost never,Never,,,Franskivska City Representation Staff Volunteers
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Often,Rarely,Never,,,Mykolaiv_District_Hospital_Staff
Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Rarely,Often,Often,,,Mykolaiv_District_Hospital_Staff
Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Very often,Often,Almost never,,,Mykolaiv_District_Hospital_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Sometimes,Sometimes,Rarely,,,Mykolaiv_District_Hospital_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Rarely,,,Mykolaiv_District_Hospital_Staff
Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Often,Every day,Sometimes,,,Mykolaiv_District_Hospital_Staff
Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Often,Sometimes,Sometimes,,,Mykolaiv_District_Hospital_Staff
Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Sometimes,Rarely,Almost never,,,Mykolaiv_District_Hospital_Staff
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Rarely,Rarely,Never,,,Mykolaiv_District_Hospital_Staff
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Rarely,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Every day,Sometimes,Rarely,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Never,,,Mykolaiv_District_PSS_Staff
Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Sometimes,Almost never,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Very often,Sometimes,Rarely,,,Mykolaiv_District_PSS_Staff
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Every day,Rarely,Almost never,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Often,Rarely,Almost never,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Sometimes,Often,Rarely,,,Mykolaiv_District_PSS_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Very often,Rarely,,,Khmelnytskyi_Regional_Staff
Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Rarely,,,Khmelnytskyi_Regional_Staff
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Often,Rarely,Almost never,,,Khmelnytskyi_Regional_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Sometimes,Rarely,,,Khmelnytskyi_Regional_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Strongly agree,Often,Rarely,Almost never,,,Khmelnytskyi_Regional_Staff
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every day,Often,Rarely,,,Khmelnytskyi_Regional_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Rarely,,,Khmelnytskyi_Regional_Staff
Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Often,Rarely,Almost never,,,Khmelnytskyi_Regional_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Sometimes,Sometimes,Rarely,,,Khmelnytskyi_Regional_Staff
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Every day,Almost never,Almost never,,,Rivne_Regional_MHU_MRU_Staff
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Often,Rarely,Never,,,Rivne_Regional_MHU_MRU_Staff
